ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
1,1,Yash Anand,61,7,6,5,1
2,2,Nilima Keer,26,8,7,1,1
3,3,Wyatt Nadkarni,43,5,6,5,1
4,4,Ekaraj Dewan,66,9,6,5,1
5,5,Neelima Padmanabhan,65,7,5,4,1
6,6,Aradhana Mody,57,3,4,1,3
7,7,Veer Pandit,52,7,6,3,1
8,8,Amruta Rattan,56,3,5,5,1
9,9,Dev Sama,43,5,3,3,1
10,10,Isaac Dhar,27,6,6,5,1
11,10,Ira Balakrishnan,71,4,4,2,1
12,11,Thomas Setty,38,1,4,2,3
13,11,Omisha Deshmukh,50,5,5,3,2
14,12,Manya Dutta,75,5,3,3,2
15,13,Gautam Manne,31,2,2,1,2
16,14,Samaksh Mistry,60,1,5,4,2
17,14,Rajata Pradhan,32,6,6,3,3
18,15,Yashodhara Choudhury,58,2,3,5,1
19,16,Krishna Verma,53,7,4,5,3
20,17,Sanya Gera,18,8,5,5,1
21,18,Jairaj Roy,72,2,3,4,3
22,19,Hemang Gole,44,7,7,4,3
23,20,Hredhaan Desai,33,5,6,2,1
24,21,Chanchal Ghosh,45,2,5,3,1
25,22,Farhan Padmanabhan,73,1,4,2,3
26,23,Chatresh Srinivasan,51,4,4,2,3
27,24,Rachita Bose,48,9,2,3,2
28,25,Manya Wali,60,2,3,5,3
29,25,Champak Comar,59,5,5,2,3
30,26,Wahab Dasgupta,37,5,4,2,1
31,27,Eesha Kaur,58,8,4,2,2
32,28,Yashoda Bhatt,65,9,1,2,3
33,29,Radha Munshi,47,5,4,2,2
34,30,Abhiram Mane,57,4,1,2,3
35,31,Avi Iyengar,26,8,5,1,3
36,32,Aarini Joshi,20,9,4,2,2
37,33,Anita Srinivasan,47,8,4,1,3
38,34,Tanmayi Babu,66,8,4,2,2
39,35,Samarth Mander,36,6,3,3,3
40,36,Wridesh Yohannan,38,4,1,5,2
41,37,Krisha Soman,73,5,3,2,2
42,38,Jeet Sekhon,49,3,5,3,1
43,38,Ati Parikh,57,4,4,3,1
44,39,Vamakshi Ramachandran,34,1,3,4,3
45,39,Oni Soman,36,6,6,5,1
46,40,Wyatt Mannan,38,1,2,1,2
47,41,Janaki Sama,57,2,4,4,2
48,42,Yasti Sur,63,7,1,2,1
49,43,Owen Dugal,22,1,5,3,2
50,43,Zehaan Bhakta,43,4,6,1,2
51,44,Upkaar Thaman,75,9,5,4,2
52,44,Upkaar Parikh,59,5,6,4,1
53,45,Oliver Dani,43,9,1,5,1
54,46,Charles Chaudry,59,3,3,3,3
55,47,Harish Batta,44,7,4,1,2
56,48,Arin Saini,73,7,6,4,1
57,49,Azaan Wadhwa,47,9,7,2,1
58,50,Kabir Kumar,29,4,5,4,3
59,51,Adweta Arya,63,6,2,3,1
60,52,Yashoda Uppal,58,7,1,3,1
61,53,Aahana Verma,59,6,7,3,2
62,53,Yatan Ganguly,69,2,4,1,1
63,54,Nathan Vora,37,8,4,1,1
64,55,Ishanvi Iyer,19,4,5,1,3
65,55,Vanya Naidu,38,5,1,5,2
66,56,Aarini Natt,51,7,3,3,3
67,57,Baljiwan Chada,56,9,4,1,3
68,57,Vaishnavi Dubey,36,3,6,1,3
69,58,Mohini Ratta,59,7,2,1,3
70,58,Hemang Pal,45,6,5,3,3
71,59,Hredhaan Dua,37,3,5,5,3
72,60,Ekapad Dua,42,1,3,1,1
73,61,Damini Kapadia,41,3,1,2,1
74,61,Urishilla Tailor,69,1,7,2,2
75,62,Kiaan Ghose,27,6,3,4,1
76,62,Jasmit Sidhu,54,8,2,3,1
77,63,Nilima Rau,70,8,7,5,2
78,64,Yatan Mannan,63,1,4,4,2
79,64,Ikshita Nagarajan,37,3,1,1,3
80,65,Pranav Wadhwa,51,7,5,5,3
81,65,Dipta Chaudhari,71,4,2,2,2
82,66,Abhimanyu Borde,37,1,6,2,1
83,67,Rajeshri Patla,30,7,7,3,3
84,68,Gauri Mohan,31,2,5,5,3
85,69,Tarak Saxena,59,5,4,4,2
86,70,Yashoda Subramaniam,44,6,6,4,1
87,71,Unni Misra,34,5,7,4,3
88,72,Advay Shere,35,1,3,3,1
89,73,Rushil Pillai,53,2,1,1,2
90,73,Yahvi Misra,59,3,3,4,1
91,74,Harinakshi Setty,50,5,7,5,3
92,75,Tanvi Shetty,31,7,1,1,1
93,75,Darsh Andra,72,9,7,5,2
94,76,Chavvi Sarna,58,6,4,1,1
95,77,Amrita Bakshi,65,7,1,3,3
96,77,Advaith Tripathi,46,5,2,2,2
97,78,Udant Taneja,27,3,2,2,1
98,78,Qarin Sawhney,75,5,7,2,1
99,79,Utkarsh Agate,31,8,1,3,2
100,80,Aahana Ganesan,33,9,2,2,2
101,81,Nandini Sachdeva,59,3,1,1,1
102,82,Fitan Suresh,23,8,5,3,3
103,83,Charan Karpe,42,4,1,1,2
104,84,Janya Basu,64,1,5,2,2
105,85,Pushti Kakar,59,6,6,1,2
106,86,Shivani Keer,21,3,6,1,1
107,87,Azaan Bedi,69,5,5,1,3
108,88,Daniel Chaudhry,60,1,6,5,3
109,89,Ojasvi Srivastava,25,5,1,4,3
110,90,Bhanumati Goda,72,8,7,3,1
111,91,Viraj Malhotra,63,9,6,3,1
112,92,Charles Mahajan,71,4,5,2,1
113,93,Udant Mukherjee,42,9,4,3,2
114,94,Dhriti Barman,32,1,3,2,2
