EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,AppointmentDate
1,4,284,1,3,KGID100001,Isaac,1968-06-02,1,6,0,1999-05-09
2,9,259,2,1,KGID100002,Udant,1972-08-27,1,7,0,1993-06-26
3,2,2,2,2,KGID100003,Gagan,1989-05-05,2,3,0,1991-01-30
4,14,288,1,1,KGID100004,Girik,1975-08-01,1,1,0,2007-03-08
5,5,221,1,3,KGID100005,Avi,1988-04-05,2,1,0,2014-05-06
6,7,128,4,3,KGID100006,Oni,1975-08-26,2,3,0,2010-01-13
7,8,84,8,2,KGID100007,Abeer,1995-07-28,2,1,0,1995-06-06
8,11,211,5,6,KGID100008,Pahal,1980-01-31,1,5,0,1995-04-15
9,4,196,5,4,KGID100009,Gayathri,1971-04-11,1,4,0,2002-12-01
10,15,180,2,2,KGID100010,Jagrati,1998-11-07,1,1,0,2010-07-12
11,13,169,1,1,KGID100011,Caleb,1994-06-30,2,6,0,2008-03-25
12,13,275,2,1,KGID100012,Kritika,1970-05-29,1,5,0,1999-12-20
13,9,20,1,4,KGID100013,Janaki,1988-11-08,2,6,0,2013-12-15
14,4,198,5,2,KGID100014,Chakradev,1991-12-17,2,1,0,2016-04-13
15,1,267,6,5,KGID100015,Fariq,1999-02-21,1,6,0,2019-06-17
16,11,320,2,1,KGID100016,Lajita,1977-10-11,2,5,0,2011-08-12
17,11,207,4,5,KGID100017,Janya,1973-07-06,1,4,0,2002-01-29
18,13,90,3,3,KGID100018,Amara,1993-06-18,2,1,0,2013-03-29
19,7,221,4,5,KGID100019,Ekbal,1990-01-12,2,8,0,1995-10-27
20,7,262,2,6,KGID100020,Yash,1973-07-16,1,2,0,2002-11-26
21,11,48,5,2,KGID100021,Theodore,1992-10-28,2,4,0,2018-08-28
22,5,13,1,4,KGID100022,Daksh,1975-12-20,1,8,0,1991-02-03
23,7,197,2,2,KGID100023,Diya,1982-05-03,1,1,0,1992-04-01
24,4,218,1,6,KGID100024,Divya,1975-05-12,2,1,0,2006-12-22
25,4,234,1,4,KGID100025,Tara,1972-10-11,2,8,0,1994-09-30
26,14,281,2,2,KGID100026,Adya,1995-02-18,2,8,0,2004-07-26
27,8,327,1,5,KGID100027,Mohini,1980-11-20,2,4,0,2023-11-28
28,3,147,1,3,KGID100028,Lakshit,1986-05-07,2,2,0,1993-02-02
29,8,197,4,6,KGID100029,Champak,1999-05-10,1,2,0,1995-03-13
30,11,278,2,1,KGID100030,Nathaniel,1996-10-19,1,7,0,2004-05-09
31,1,295,2,1,KGID100031,Devansh,1981-09-24,2,5,0,2010-04-05
32,14,276,4,5,KGID100032,Upadhriti,1987-01-26,1,8,0,2023-01-06
33,14,249,1,3,KGID100033,Advay,1992-08-31,2,3,0,1993-11-23
34,5,319,3,4,KGID100034,Amara,1995-12-07,1,2,0,2001-07-26
35,5,237,1,3,KGID100035,Chaaya,1983-07-31,2,6,0,2005-06-05
36,11,173,4,4,KGID100036,Adya,2003-06-16,2,7,0,2015-11-28
37,3,241,1,5,KGID100037,Yashica,2001-04-06,1,6,0,2019-08-07
38,3,334,1,1,KGID100038,Chanchal,1998-08-21,1,4,0,2007-04-06
39,5,123,1,6,KGID100039,Rushil,1973-02-23,1,4,0,2015-12-04
40,9,189,1,5,KGID100040,Aadi,1989-08-27,1,3,0,2006-08-12
41,4,297,1,3,KGID100041,Isaac,2001-11-14,2,7,0,2019-11-16
42,7,39,3,6,KGID100042,Damyanti,1976-05-09,1,2,0,1998-03-11
43,10,308,5,5,KGID100043,Farhan,1970-08-30,1,6,0,2006-07-11
44,12,36,3,3,KGID100044,Ekapad,2003-09-06,1,7,0,2008-02-11
45,4,222,7,6,KGID100045,Jeremiah,1972-03-30,2,3,0,2006-02-28
46,9,316,5,5,KGID100046,Noah,1977-04-20,2,8,0,2019-08-30
47,9,166,5,1,KGID100047,Pallavi,2003-03-06,2,8,0,2021-08-01
48,15,292,3,4,KGID100048,Sai,1993-11-15,2,1,0,2003-07-26
49,11,94,2,3,KGID100049,Kashvi,1983-09-14,2,6,0,2007-08-07
50,9,285,1,2,KGID100050,Jai,1976-08-31,1,4,0,1992-03-06
51,16,285,4,6,KGID100051,Ansh,1989-04-05,2,8,0,1997-10-28
52,1,48,1,4,KGID100052,Thomas,1967-10-05,1,5,0,2014-01-24
53,12,243,3,3,KGID100053,Daniel,1975-12-19,2,6,0,2020-10-13
54,15,139,2,2,KGID100054,Ganga,1970-02-11,1,4,0,1998-02-03
55,6,99,1,4,KGID100055,Vedika,1975-06-03,2,5,1,1994-07-02
56,7,152,1,2,KGID100056,Urvashi,1976-06-26,2,1,0,2006-01-30
57,5,141,1,1,KGID100057,Niharika,1974-07-16,2,3,0,1993-04-18
58,16,53,5,5,KGID100058,Raagini,1980-08-08,2,8,0,2003-12-24
59,11,95,7,3,KGID100059,Chatura,1992-05-29,2,2,0,2023-06-18
60,13,252,1,6,KGID100060,Guneet,1969-09-26,1,3,0,2014-10-04
